"","WBIC","LAKE_NAME","UNIQUE_ID","BRANCH","TOUCH_SHORE","IN_WATER","LATITUDE","LONGITUDE"
"262",2328700,"Papoose Lake",232870016618,1,0,1,46.189197,-89.800937
"263",2328700,"Papoose Lake",232870016718,0,0,1,46.189175,-89.800921
"264",2328700,"Papoose Lake",232870016818,0,0,1,46.189155,-89.800907
"265",2328700,"Papoose Lake",232870016918,0,0,1,46.189092,-89.800872
"266",2328700,"Papoose Lake",232870017018,0,0,1,46.189007,-89.800805
"267",2328700,"Papoose Lake",232870017118,0,0,1,46.188695,-89.800654
"268",2328700,"Papoose Lake",232870017218,0,1,0,46.188668,-89.800655
"269",2328700,"Papoose Lake",232870017318,0,1,1,46.188644,-89.800653
"270",2328700,"Papoose Lake",232870017418,0,1,1,46.188627,-89.80065
"271",2328700,"Papoose Lake",232870017518,0,1,1,46.188439,-89.800563
"272",2328700,"Papoose Lake",232870017618,0,1,1,46.188083,-89.800005
"273",2328700,"Papoose Lake",232870017718,0,1,1,46.188068,-89.799851
"274",2328700,"Papoose Lake",232870017818,0,1,0,46.188693,-89.798506
"275",2328700,"Papoose Lake",232870017918,0,1,0,46.188815,-89.79849
"276",2328700,"Papoose Lake",232870018018,0,1,1,46.188853,-89.798488
"277",2328700,"Papoose Lake",232870018118,0,1,1,46.189153,-89.798478
"278",2328700,"Papoose Lake",232870018218,0,1,0,46.189499,-89.798559
"279",2328700,"Papoose Lake",232870018318,0,0,0,46.189528,-89.798569
"280",2328700,"Papoose Lake",232870018418,0,1,0,46.189845,-89.798675
"281",2328700,"Papoose Lake",232870018518,0,1,0,46.190133,-89.798673
"282",2328700,"Papoose Lake",232870018618,0,1,0,46.190254,-89.798591
"283",2328700,"Papoose Lake",232870018718,0,1,1,46.189617,-89.798314
"284",2328700,"Papoose Lake",232870018818,0,1,1,46.18926,-89.79834
"285",2328700,"Papoose Lake",232870018918,2,1,0,46.189132,-89.798363
"286",2328700,"Papoose Lake",232870019018,1,1,1,46.18842,-89.797267
"287",2328700,"Papoose Lake",232870019118,0,0,0,46.188311,-89.796971
"288",2328700,"Papoose Lake",232870019218,0,1,1,46.18831,-89.796949
"289",2328700,"Papoose Lake",232870019318,0,1,0,46.188302,-89.796921
"290",2328700,"Papoose Lake",232870019418,0,1,0,46.188126,-89.796802
"291",2328700,"Papoose Lake",232870019518,0,1,1,46.187708,-89.796548
"292",2328700,"Papoose Lake",232870019618,2,1,0,46.187012,-89.796051
"293",2328700,"Papoose Lake",232870019718,0,1,1,46.186895,-89.795919
"294",2328700,"Papoose Lake",232870019818,0,1,1,46.186258,-89.795324
"295",2328700,"Papoose Lake",232870019918,0,0,1,46.186099,-89.795289
"296",2328700,"Papoose Lake",232870020018,0,0,1,46.185514,-89.795204
"297",2328700,"Papoose Lake",232870020118,0,1,0,46.184835,-89.795094
"298",2328700,"Papoose Lake",232870020218,0,0,0,46.183079,-89.795623
"299",2328700,"Papoose Lake",232870020318,0,0,1,46.1827,-89.795459
"300",2328700,"Papoose Lake",232870020418,0,0,1,46.18228,-89.795312
"301",2328700,"Papoose Lake",232870020518,0,0,1,46.18225,-89.795311
